Tool_type,Documents,Percentage (%)
Remote-sensing / energy-balance model,2257,38.11
Crop model / irrigation DSS,506,8.54
Cloud / analytics platform,102,1.72
Web tool / online / API,47,0.79
Programming package / toolbox,45,0.76
Desktop / generic software,309,5.22
Other / unspecified,2657,44.86
