Year,Publications
1969,1
1970,1
1971,1
1972,3
1973,1
1976,1
1978,3
1979,4
1980,3
1981,5
1982,3
1984,3
1985,2
1986,3
1987,3
1988,3
1989,4
1990,2
1991,10
1992,6
1993,2
1994,5
1995,5
1996,3
1997,7
1998,7
1999,3
2000,5
2001,9
2002,11
2003,8
2004,8
2005,22
2006,13
2007,27
2008,29
2009,32
2010,24
2011,41
2012,48
2013,44
2014,52
2015,60
2016,63
2017,67
2018,67
2019,92
2020,114
2021,130
2022,162
2023,138
2024,163
2025,243
2026,143
