tool_type,OA_docs,Total,OA_%
Cloud / analytics platform,0,102,0.0
Crop model / irrigation DSS,0,506,0.0
Desktop / generic software,0,309,0.0
Other / unspecified,0,2657,0.0
Programming package / toolbox,0,45,0.0
Remote-sensing / energy-balance model,0,2257,0.0
Web tool / online / API,0,47,0.0
